"","SampleID","Date","Time","WaterType","Location","Latitude","Longitude","Temp_C"
"1","MSTW-21-01",2021-07-04,1899-12-31 14:00:00,"River","TBI-Turkwel","3.14198333333333","35.8620166666667",34.6
"2","MSTW-21-02",2021-07-05,1899-12-31 09:00:00,"River","TBI-Turkwel","3.14248333333333","35.8622333333333",25.3
"3","MSTW-21-03",2021-07-05,1899-12-31 09:30:00,"Ground","Turkwel River well","3.14488333333333","35.8618333333333",NA
"4","MSTW-21-04",2021-07-05,1899-12-31 10:50:00,"River Delta","Turkwel River delta","3.09756666666667","36.132",29.4
"5","MSTW-21-05",2021-07-05,1899-12-31 11:15:00,"River Delta","Turkwel River delta","3.10256666666667","36.1432833333333",29
"6","MSTW-21-06",2021-07-05,1899-12-31 11:30:00,"River Delta","Turkwel River delta","3.10391666666667","36.1446333333333",29.7
"7","MSTW-21-07",2021-07-05,1899-12-31 11:45:00,"River Delta","Turkwel River delta","3.10955","35.14785",30.9
"8","MSTW-21-08",2021-07-05,1899-12-31 12:00:00,"Lake","Turkwel River delta","3.10998333333333","36.1481666666667",31.5
"9","MSTW-21-09",2021-07-05,1899-12-31 16:00:00,"Lake","Eliye Springs Resort","3.2537","36.02075",30.5
"10","MSTW-21-10",2021-07-05,1899-12-31 16:00:00,"Spring","Eliye Springs Resort","3.25235","36.0206833333333",37
"11","MSTW-21-11",2021-07-06,1899-12-31 17:00:00,"River","TBI-Turkwel","3.14198333333333","35.8620166666667",30.6
"12","MSTW-21-12",2021-07-07,1899-12-31 15:00:00,"Ground","TBI-Turkwel","3.142","35.8620333333333",NA
"13","MSTW-21-13",2021-07-07,1899-12-31 18:00:00,"River","TBI-Turkwel","3.14201666666667","35.86205",NA
"14","MSTW-21-14",2021-07-11,1899-12-31 16:00:00,"Ground","Lothagam","2.9352","36.059339999999999",30.2
"15","MSTW-21-15",2021-07-12,1899-12-31 13:00:00,"Ground","Lothagam borehole","2.9414099999999999","36.02807",NA
"16","MSTW-21-16",2021-07-13,1899-12-31 16:00:00,"Surface","Nabwal Arangan water hole","2.8966099999999999","36.063580000000002",NA
"17","MSTW-21-17",2021-07-15,1899-12-31 09:00:00,"Ground","Lothagam","2.9274499999999999","36.058070000000001",NA
"18","MSTW-21-18",2021-07-19,1899-12-31 07:00:00,"River","TBI-Turkwel","3'08.521","35'51.723",NA
