Date,meter height wrt reference,meters above sea level
1/9/16,0.89,363.72
1/19/16,0.86,363.69
1/29/16,0.81,363.64
2/8/16,0.77,363.6
2/18/16,0.74,363.57
2/28/16,0.69,363.52
3/9/16,0.66,363.49
3/19/16,0.63,363.46
3/29/16,0.6,363.43
4/8/16,0.58,363.41
4/18/16,0.62,363.45
4/28/16,0.67,363.5
5/7/16,0.73,363.56
5/17/16,0.8,363.63
5/27/16,0.86,363.69
6/6/16,0.88,363.71
6/16/16,0.88,363.71
6/26/16,0.89,363.72
7/6/16,0.91,363.74
7/16/16,0.92,363.75
7/26/16,0.92,363.75
8/5/16,0.92,363.75
8/15/16,0.9,363.73
8/25/16,0.86,363.69
9/3/16,0.83,363.66
9/13/16,0.77,363.6
9/23/16,0.77,363.6
2/18/16,0.72,363.55
2/28/16,0.64,363.47
3/9/16,0.65,363.48
3/19/16,0.62,363.45
3/29/16,0.6,363.43
4/18/16,0.64,363.47
4/28/16,0.69,363.52
5/7/16,0.73,363.56
5/27/16,0.79,363.62
6/6/16,0.85,363.68
6/16/16,0.86,363.69
6/26/16,0.87,363.7
7/6/16,0.88,363.71
7/16/16,0.9,363.73
7/26/16,0.91,363.74
8/5/16,0.91,363.74
8/15/16,0.9,363.73
8/25/16,0.88,363.71
9/3/16,0.86,363.69
9/13/16,0.83,363.66
9/23/16,0.8,363.63
10/3/16,0.79,363.62
10/13/16,0.77,363.6
10/23/16,0.75,363.58
11/2/16,0.75,363.58
11/12/16,0.74,363.57
11/22/16,0.74,363.57
12/2/16,0.74,363.57
12/12/16,0.73,363.56
12/22/16,0.71,363.54
12/31/16,0.69,363.52
1/10/17,0.67,363.5
1/20/17,0.65,363.48
1/30/17,0.63,363.46
2/9/17,0.62,363.45
2/19/17,0.6,363.43
3/1/17,0.58,363.41
3/11/17,0.55,363.38
3/21/17,0.51,363.34
3/31/17,0.49,363.32
4/10/17,0.46,363.29
4/19/17,0.44,363.27
4/29/17,0.43,363.26
5/9/17,0.41,363.24
5/19/17,0.4,363.23
5/29/17,0.39,363.22
6/8/17,0.38,363.21
6/18/17,0.38,363.21
6/28/17,0.39,363.22
7/8/17,0.41,363.24
7/18/17,0.43,363.26
7/28/17,0.45,363.28
8/7/17,0.47,363.3
8/16/17,0.49,363.32
8/26/17,0.51,363.34
9/15/17,0.54,363.37
9/25/17,0.58,363.41
10/5/17,0.66,363.49
10/15/17,0.74,363.57
10/25/17,0.83,363.66
11/4/17,0.91,363.74
11/14/17,0.97,363.8
11/24/17,0.99,363.82
12/4/17,0.99,363.82
12/13/17,0.96,363.79
12/23/17,0.94,363.77
1/2/18,0.91,363.74
1/12/18,0.89,363.72
1/22/18,0.89,363.72
2/1/18,0.89,363.72
2/11/18,0.89,363.72
2/21/18,0.89,363.72
3/3/18,0.88,363.71
3/13/18,0.88,363.71
3/23/18,0.89,363.72
4/2/18,0.93,363.76
4/11/18,0.99,363.82
4/21/18,1.06,363.89
5/1/18,1.14,363.97
5/11/18,1.25,364.08
5/21/18,1.36,364.19
5/31/18,1.46,364.29
6/10/18,1.55,364.38
6/20/18,1.64,364.47
6/30/18,1.68,364.51
7/10/18,1.7,364.53
7/20/18,1.69,364.52
7/30/18,1.68,364.51
8/8/18,1.66,364.49
8/18/18,1.65,364.48
8/28/18,1.65,364.48
9/7/18,1.67,364.5
9/17/18,1.67,364.5
9/27/18,1.66,364.49
10/7/18,1.64,364.47
10/17/18,1.62,364.45
10/27/18,1.6,364.43
11/6/18,1.59,364.42
11/16/18,1.57,364.4
11/26/18,1.57,364.4
12/5/18,1.57,364.4
