date,rain_mm,station
1/12/20,2,TURKWEL
1/26/20,10,TURKWEL
3/3/20,19,TURKWEL
3/4/20,5,TURKWEL
3/13/20,43,TURKWEL
3/25/20,5,TURKWEL
4/13/20,13,TURKWEL
4/15/20,5,TURKWEL
8/7/20,18,TURKWEL
9/6/20,2,TURKWEL
9/7/20,5,TURKWEL
10/10/20,15,TURKWEL
12/30/20,9,TURKWEL
4/23/19,9,TURKWEL
4/28/19,1.5,TURKWEL
6/3/19,38,TURKWEL
6/10/19,35,TURKWEL
6/11/19,42,TURKWEL
7/24/19,30,TURKWEL
8/1/19,22,TURKWEL
9/28/19,6,TURKWEL
10/7/19,3,TURKWEL
10/18/19,42,TURKWEL
12/5/19,43,TURKWEL
12/9/19,14,TURKWEL
12/10/19,2,TURKWEL
3/1/18,4.5,TURKWEL
3/4/18,12,TURKWEL
3/5/18,13,TURKWEL
3/8/18,16,TURKWEL
3/15/18,6,TURKWEL
3/16/18,11,TURKWEL
3/17/18,3,TURKWEL
3/20/18,14,TURKWEL
4/8/18,30,TURKWEL
4/11/18,8,TURKWEL
4/16/18,65,TURKWEL
12/10/18,35,TURKWEL
12/11/18,3.5,TURKWEL
2/1/17,2,TURKWEL
4/29/17,12,TURKWEL
4/30/17,67,TURKWEL
5/29/17,44,TURKWEL
7/3/17,10,TURKWEL
7/13/17,55,TURKWEL
7/27/17,12,TURKWEL
8/30/17,13,TURKWEL
8/31/17,1,TURKWEL
9/1/17,12,TURKWEL
9/2/17,8,TURKWEL
10/19/17,38,TURKWEL
10/22/17,14,TURKWEL
11/5/17,58,TURKWEL
11/7/17,1,TURKWEL
3/9/16,40,TURKWEL
3/10/16,50,TURKWEL
4/28/16,33,TURKWEL
5/1/16,16,TURKWEL
5/10/16,4.5,TURKWEL
6/22/16,26,TURKWEL
7/8/16,3,TURKWEL
1/1/21,21,ILERET
2/22/21,20,ILERET
2/23/21,10.5,ILERET
3/17/21,7,ILERET
3/19/21,3.5,ILERET
1/2/20,25,ILERET
1/12/20,7,ILERET
1/13/20,3,ILERET
1/15/20,8,ILERET
