"","SampleID","Date","Latitude","Longitude","Location","WaterType","d18O","dD","Dexcess"
"1","R01",2017-01-29,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.56,-7.25,-2.77
"2","R02",2017-01-30,4.2863,36.2621,"TBI-Ileret","Precipitation",1.45,5.21,-6.39
"3","R03",2017-02-01,4.2863,36.2621,"TBI-Ileret","Precipitation",4.67,28.9,-8.46
"4","R04",2017-02-04,4.2863,36.2621,"TBI-Ileret","Precipitation",5.93,20.47,-26.97
"5","R06",2017-02-18,4.2863,36.2621,"TBI-Ileret","Precipitation",2.71,26.22,4.54
"6","R07",2017-02-28,4.2863,36.2621,"TBI-Ileret","Precipitation",4.09,32.39,-0.33
"7","R08",2017-05-28,4.2863,36.2621,"TBI-Ileret","Precipitation",2.94,24.86,1.34
"8","R09",2017-05-30,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.18,5.01,6.45
"9","R11",2017-07-04,4.2863,36.2621,"TBI-Ileret","Precipitation",-1.16,8.09,17.37
"10","R12",2018-02-18,4.2863,36.2621,"TBI-Ileret","Precipitation",0.83,-5.58,-12.22
"11","R13",2018-02-27,4.2863,36.2621,"TBI-Ileret","Precipitation",4.24,27.25,-6.67
"12","R14",2018-03-06,4.2863,36.2621,"TBI-Ileret","Precipitation",0.5,7.94,3.94
"13","R15",2018-03-07,4.2863,36.2621,"TBI-Ileret","Precipitation",-1.69,3.31,16.83
"14","R16",2018-03-13,4.2863,36.2621,"TBI-Ileret","Precipitation",3.72,36.35,6.59
"15","R17",2018-03-16,4.2863,36.2621,"TBI-Ileret","Precipitation",-1.01,9.42,17.5
"16","MSTI101",2019-02-16,4.2863,36.2621,"TBI-Ileret","Precipitation",-1.48,-7.59,4.25
"17","MSTI102",2019-03-21,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.45,8.06,11.66
"18","MSTI103",2019-04-23,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.46,7.67,11.35
"19","MSTI104",2019-04-25,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.42,8.5,11.86
"20","MSTI106",2019-04-27,4.2863,36.2621,"TBI-Ileret","Precipitation",2.34,11.84,-6.88
"21","MSTI107",2019-05-26,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.2,10.13,11.73
"22","MSTI108",2019-06-12,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.42,8.42,11.78
"23","MSTI109",2019-07-16,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.32,9.7,12.26
"24","MSTI110",2019-08-13,4.2863,36.2621,"TBI-Ileret","Precipitation",-0.16,10.25,11.53
"25","MSTI006",2019-10-02,4.2876,36.261,"TBI-Ileret","Precipitation",-2.26,-24.35,-6.27
"26","MSTI008",2019-10-02,4.2876,36.261,"TBI-Ileret","Precipitation",-2.98,-26.27,-2.43
"27","R18",2018-03-19,3.1396,35.8649,"TBI-Turkwel","Precipitation",0.93,23.49,16.05
"28","R19",2018-06-23,3.1396,35.8649,"TBI-Turkwel","Precipitation",3.38,15.98,-11.06
"29","V01",2017-03-29,3.1417,35.8623,"TBI-Turkwel","River",-0.8,3.43,9.83
"30","V03",2018-03-19,3.1417,35.8623,"TBI-Turkwel","River",0.07,10.3,9.74
"31","V04",2018-03-31,3.1417,35.8623,"TBI-Turkwel","River",0.36,7.94,5.06
"32","MSTI010",2020-01-14,3.1417,35.8623,"TBI-Turkwel","River",-2.17,-8.01,9.35
"33","MSTI016",2020-01-22,3.1417,35.8623,"TBI-Turkwel","River",-1.88,-7.65,7.39
"34","V02",2017-06-26,4.8023,36.049,"Omorate","River",-0.36,8.93,11.81
"35","MSTI012",2020-01-18,3.8505,35.7272,"Topernawi","River",-3.39,-26.23,0.89
"36","L12",2017-06-20,4.4293,36.2207,"Sericho","Lake",6.38,42.56,-8.48
"37","L11",2017-06-20,4.3657,36.2171,"Sericho","Lake",5.89,41.88,-5.24
"38","L003",2016-09-30,4.2879,36.2059,"Il Eeriet Delta","Lake",5.47,39.77,-3.99
"39","L001",2016-09-29,4.2769,36.2212,"Kale Beach","Lake",5.46,38.06,-5.62
"40","L25",2016-10-08,4.2621,36.2233,"Kale Beach","Lake",5.05,36.31,-4.09
"41","L01",2017-02-01,4.2572,36.2225,"Kale Beach","Lake",5.49,38.34,-5.58
"42","L02",2017-02-05,4.2572,36.2225,"Kale Beach","Lake",5.43,38.99,-4.45
"43","L06",2017-03-05,4.2572,36.2225,"Kale Beach","Lake",5.41,39.05,-4.23
"44","L09",2017-06-04,4.2779,36.2221,"Kale Beach","Lake",4.8,35.63,-2.77
"45","L10",2017-06-18,4.2779,36.2221,"Kale Beach","Lake",5.69,40.36,-5.16
"46","L14",2017-07-04,4.2814,36.2184,"Kale Beach","Lake",2.62,23.1,2.14
"47","L15",2018-01-31,4.2572,36.2225,"Kale Beach","Lake",5.55,40.12,-4.28
"48","L16",2018-02-04,4.2572,36.2225,"Kale Beach","Lake",5.42,39.12,-4.24
"49","L18",2018-02-11,4.2572,36.2225,"Kale Beach","Lake",5.33,38.5,-4.14
"50","L20",2018-02-25,4.2572,36.2225,"Kale Beach","Lake",5.22,38.25,-3.51
"51","L23",2018-07-01,4.2621,36.2233,"Kale Beach","Lake",5.13,35.97,-5.07
"52","L26",2018-07-15,4.2621,36.2233,"Kale Beach","Lake",5.1,36.44,-4.36
"53","L27",2018-07-22,4.2769,36.2212,"Kale Beach","Lake",5,36.2,-3.8
"54","LT01",2018-07-31,4.2621,36.2233,"Kale Beach","Lake",5.42,37.08,-6.28
"55","LT02",2018-08-15,4.2621,36.2233,"Kale Beach","Lake",5.31,35.49,-6.99
"56","LT03",2018-08-30,4.2621,36.2233,"Kale Beach","Lake",5.33,35.24,-7.4
"57","LT04",2018-09-15,4.1562,36.1343,"Kale Beach","Lake",5.18,32.87,-8.57
"58","LT05",2018-09-30,4.1562,36.1344,"Kale Beach","Lake",6.56,40.65,-11.83
"59","LT06",2018-10-15,4.2623,36.2232,"Kale Beach","Lake",4.87,33.98,-4.98
"60","LT07",2018-11-01,4.2621,36.2231,"Kale Beach","Lake",4.91,34.4,-4.88
