Sample ID,Date,Latitude,Longitude,Location,Water Type,_18O,_D,D-excess
R01,1/29/17,4.2863,36.2621,TBI-Ileret,Precipitation,-0.56,-7.25,-2.77
R02,1/30/17,4.2863,36.2621,TBI-Ileret,Precipitation,1.45,5.21,-6.39
R03,2/1/17,4.2863,36.2621,TBI-Ileret,Precipitation,4.67,28.9,-8.46
R04,2/4/17,4.2863,36.2621,TBI-Ileret,Precipitation,5.93,20.47,-26.97
R06,2/18/17,4.2863,36.2621,TBI-Ileret,Precipitation,2.71,26.22,4.54
R07,2/28/17,4.2863,36.2621,TBI-Ileret,Precipitation,4.09,32.39,-0.33
R08,5/28/17,4.2863,36.2621,TBI-Ileret,Precipitation,2.94,24.86,1.34
R09,5/30/17,4.2863,36.2621,TBI-Ileret,Precipitation,-0.18,5.01,6.45
R11,7/4/17,4.2863,36.2621,TBI-Ileret,Precipitation,-1.16,8.09,17.37
R12,2/18/18,4.2863,36.2621,TBI-Ileret,Precipitation,0.83,-5.58,-12.22
R13,2/27/18,4.2863,36.2621,TBI-Ileret,Precipitation,4.24,27.25,-6.67
R14,3/6/18,4.2863,36.2621,TBI-Ileret,Precipitation,0.5,7.94,3.94
R15,3/7/18,4.2863,36.2621,TBI-Ileret,Precipitation,-1.69,3.31,16.83
R16,3/13/18,4.2863,36.2621,TBI-Ileret,Precipitation,3.72,36.35,6.59
R17,3/16/18,4.2863,36.2621,TBI-Ileret,Precipitation,-1.01,9.42,17.5
MSTI101,2/16/19,4.2863,36.2621,TBI-Ileret,Precipitation,-1.48,-7.59,4.25
MSTI102,3/21/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.45,8.06,11.66
MSTI103,4/23/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.46,7.67,11.35
MSTI104,4/25/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.42,8.5,11.86
MSTI106,4/27/19,4.2863,36.2621,TBI-Ileret,Precipitation,2.34,11.84,-6.88
MSTI107,5/26/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.2,10.13,11.73
MSTI108,6/12/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.42,8.42,11.78
MSTI109,7/16/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.32,9.7,12.26
MSTI110,8/13/19,4.2863,36.2621,TBI-Ileret,Precipitation,-0.16,10.25,11.53
MSTI006,10/2/19,4.2876,36.261,TBI-Ileret,Precipitation,-2.26,-24.35,-6.27
MSTI008,10/2/19,4.2876,36.261,TBI-Ileret,Precipitation,-2.98,-26.27,-2.43
R18,3/19/18,3.1396,35.8649,TBI-Turkwel,Precipitation,0.93,23.49,16.05
R19,6/23/18,3.1396,35.8649,TBI-Turkwel,Precipitation,3.38,15.98,-11.06
